qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_As_a_{reg3?girl:boy}|{reg3?Adolescente:Adolescent}, on vous envoya vivre à la cour d'un noble de la région. Là-bas vos premières leçons de vie vous enseignèrent l'humilité, en servant les seigneurs et les dames du domaine. Mais par le biais de leurs parties d'échec, leurs commérages et même le récit de leurs exploits et de leurs amours courtois, vous avez rapidement commencé à comprendre le monde des adultes, fait de conflits et de compétitions. Vous avez également découvert la brutalité des jeux auxquels s'adonnaient les autres enfants, consistant à se battre avec des bâtons à l'image des épées de leurs ainés.
qstr_As_a_{reg3?girl:boy}_|{reg3?Adolescente:Adolescent}, vous êtes {reg3?devenue l'apprentie:devenu l'apprenti} d'un artisan local. Après plusieurs années de dur labeur et d'étude auprès de votre nouveau maître, il vous a {reg3?promue:promu} compagnon et vous a {reg3?embauchée:embauché} comme artisan à plein temps pour aussi longtemps qu'il vous plaira.
qstr_As_a_{reg3?girl:boy}_g|{reg3?Adolescente:Adolescent}, vous êtes {reg3?devenue l'apprentie:devenu l'apprenti} d'un riche marchand, apprenant le métier au fil des ans, de boutiques en caravanes ambulantes. Vous avez rapidement maîtrisé l'art d'acheter à bas prix pour revendre au prix fort, tout en laissant croire à vos clients qu'ils avaient fait une bonne affaire.
qstr_As_a_{reg3?girl:boy}_gr|{reg3?Adolescente:Adolescent} vous avez pris la rue, faisant tout ce qu'il faut pour survivre. Mendiant, volant ou travaillant pour des bandits, vous viviez au jour le jour dans ce monde violent, toujours un peu au dessus des lois et de ceux qui vous voulaient du mal.
qstr_As_a_{reg3?girl:boy}_gro|{reg3?Adolescente:Adolescent}, vous avez passé le plus clair de votre temps à chasser de la nourriture pour vous nourrir. Même si vous avez parfois eu faim, vous êtes devenu un chasseur habile et vous savez retrouver des traces de pas dans ces terres qui n'en laissent pourtant aucune.
qstr_{reg3?daughter:man}|{reg3?fille:homme}
qstr_Though_the_distincti|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {reg3?une femme:un homme}, le monde environnant vous sembla alors différent. Lorsque l'on vous a nommé écuyer d'un noble à la cour, vous vous êtes {reg3?entraînée:entraîné} de longues heures durant au maniement des armes, apprenant aussi bien à distribuer qu'à recevoir des coups. On vous enseigna le respect pour votre seigneur ainsi que vos devoirs envers ceux qui pourraient être un jour vos vassaux. On vous inculqua les idéaux de la chevalerie, mais aussi les aspects les moins reluisants (Les vieilles histoires guerrières contant les rapports de force de l'impitoyable politique, les traîtrises et les usurpations des hommes faisant usage autant de la fourberie que de la vaillance pour arriver à leurs fins).
qstr_{reg3?woman:man}|{reg3?une femme:un homme}
qstr_Though_the_distinctio|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous avez rejoint le cercle très fermé des femmes de la cour, des dames qui ne s'autorisaient aucun écart de féminité, les épouses et les maîtresses de nobles de même que les demoiselles qui cherchaient à se marier. Cependant, même ici il était question de politique, les dames de la cour complotant pour leurs intérêts et se disputant âprement les égards des hommes célibataires en vue à la cour. Vous avez très vite appris à tourner ces situations et ces manigances à votre avantage. C'est à ce moment-là que vous avez pris conscience que vous pouviez exercer une grande influence sur le monde, si seulement vous vous appliquiez à être un tant soit peu subtile.
qstr_Though_the_distinction|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous vous lancez dans l'aventure, votre instrument sanglé dans votre dos et votre voix pour seules possessions. Vous meniez une existence miséreuse et n'aviez pas de quoi vous nourrir tous les soirs, surtout quand votre public n'appréciait pas votre façon de jouer. Vous avez tout de même réussi à survivre par votre seule musique. Au fil des ans vous avez pris l'habitude de divertir les foules enivrées dans les tavernes, et êtes désormais capable de délier pour ainsi dire toutes les langues lorsque vous le voulez.
qstr_Though_the_distinction_|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {reg3?une femme:un homme}, le monde environnant vous sembla alors différent. Vous étiez devenu {reg3?étudiante:étudiant} dans une université d'une grande ville, apprenant la théologie, la philosophie et la médecine. Mais vous n'avez pas seulement appris à la bibliothèque. Vous suiviez parfois vos camarades dans leurs quêtes d'ivresse, de femmes et de bonnes bagarres. C'est ainsi que vous avez fini par être tout autant capable d'observer comment est placée une mâchoire brisée que de persuader un citadin en colère de baisser son arme et d'accepter une compensation financière en échange du saccage de sa boutique.
qstr_Though_the_distinction_f|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. L'appel de l'aventure fut le plus fort et vous avez commencé à voyager de village en village, achetant et vendant tout ce que vous trouviez. Vous ne meniez pas une existence particulièrement prospère mais vous étiez passé maître dans l'art d'escroquer même les plus indécrottables avares. Vous vous sentiez de plus en plus capable de vous lancer dans la grande aventure du commerce et même de monter votre propre empire.
qstr_Though_the_distinction_fe|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous poursuiviez votre carrière de forgeron, transformant avec habileté le moindre morceau de métal en des objets aussi beaux qu'utiles. Petit à petit vous êtes {reg3?devenue:devenu} maître dans votre domaine et votre travail de qualité vous permit de vendre votre production aux meilleurs prix. La panse bien remplie, vous pouviez le soir chez vous au coin d'un bon feu de cheminée être fier de votre travail et de votre réputation grandissante.
qstr_Though_the_distinction_fel|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Le monde qui vous entourait vous paraissait complètement différent. La lutte désespérée des gens ordinaires pour leur subsistance ne vous contentait guère, c'est pourquoi vous avez investi les forêts du seigneur de la région, profitant de ses ressources abondantes sans vraiment vous soucier des lois en vigueur. Vous chassiez les cerfs, les sangliers et les oies pour revendre leur précieuse chair. Vous abattiez des arbres au nez et à la barbe des guetteurs pour les transformer en bois de chauffage et ainsi permettre à de nombreux foyers en proie aux froideurs hivernales de se chauffer. Tout cela en échange d'un peu d'argent, bien sûr.
qstr_Only_you_know_exactl|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Cela dit, quitter tout ce que vous aviez ne fut pas un choix difficile, vu la colère qui brûle en vous. Vous voulez la vengeance. Vous voulez la justice. Certaines blessures ne peuvent guérir qu'en faisant couler le sang.
qstr_Only_you_know_exactly|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Tout ce que vous savez, c'est que vous ne supportiez plus de rester en ces lieux de rester dans ces lieux hantés par les souvenirs d'êtres tant aimés et tant regrettés. Peut-être votre nouvelle vie vous permettra-t-elle d'oublier, ou d'honorer, le nom que vous ne pouvez même plus prononcer...
qstr_Only_you_know_exactly_|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Vous ne vous souvenez plus trop bien à partir de quel moment votre maison est devenue trop petite pour vous, ni quand votre quotidien vous a semblé insupportable. Votre soif de découverte fut la plus forte. En quête de grands espaces, de nouvelles découvertes, de nouveaux horizons, vous ne pouviez plus rester en place. Vous partîtes sans même un regard derrière vous...
qstr_Only_you_know_exactly_w|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Cependant, vous savez que vous ne pouvez pas faire marche arrière. Il n'existe pas d'endroit où vous puissiez revenir. Votre vie d'antan n'est plus. Désormais, vous devrez affronter par vous-même le monde dans son immensité, solitaire dans l'échec comme dans la gloire...
qstr_Only_you_know_exactly_wh|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Mais aux yeux de tous, seul compte pour vous l'appât du gain. Vous voulez tout, la richesse, le pouvoir et les honneurs. Vous voulez que l'on s'empresse de vous obéir, que l'on connaisse votre nom et que l'on tremble rien qu'en le prononçant. Vous voulez tout, et rien ne vous arrêtera...
qstr_Back_to_the_beginnin|Retour au début...
qstr_View_next_segment...|Suivant...
qstr_Current_party_morale_|Current party morale is {reg5}.^Current party morale modifiers are:^^Base morale:  +{reg6}^Party size unmanageable: {s2}{reg1}^Lack of rest: {s3}{reg2}^Food variety: {s4}{reg3}{s5}{s6}^Recent events: {s7}{reg4}^TOTAL:  {reg5}^^^{***};;;;
qstr_No_one|Aucun
qstr_Selected_faction_is:|La faction sélectionnée est : {s10}^^{s9}
qstr_You_are_currently_re|You are currently reading {s8}{***};;;;
qstr_You_are_not_reading_|You are not reading any books{***};;;;
qstr_{s5}_and_{s6}|{s5} and {s6}{***};;;;
qstr_Renown:_{reg2}_^Bard|Renown: {reg2} ^Bardic Reputation: {reg1} ^Honour rating: {reg3} {s12}^Friends: {s8}.^Enemies: {s6}.^{s9}.^^^Injuries^ Minor: {s10}.^ Major: {s11}.^^Your Religion^ {s13}.^^Trait: {s14}.{***};;;;
qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}{***};;;;
qstr_Current_party_size_li|Current party size limit is {reg0}.^Current party size modifiers are:^^Base size: {s5}{reg31}^Combined leadership: {s2}{reg32}^Charisma: {s3}{reg33}^Renown: {s4}{reg34}^TOTAL:  {reg0}{***};;;;
qstr_Your_relation_with_t|Vos relations avec les factions sont :^{s2}
qstr_You_don_t_have_the_m|You don't have the money to pay your men to fortify the camp. They do the job, but angrily.{***};;;;
qstr_After_you_buy_the_ma|After you buy the materials, your men build a permanent shelter for you.{***};;;;
qstr_Player_renown_is_inc|Player renown is increased by 100. {***};;;;
qstr_Player_reputation_is|Player reputation is increased by 1 and is now {reg7}.{***};;;;
qstr_Player_reputation_is_|Player reputation is decreased by 5, and it is now {reg7}.{***};;;;
qstr_Reseted.|Reseted.{***};;;;
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?acceptent:accepte} votre offre.
qstr_No_one_accepts_the_o|Personne n'accepte votre offre.
qstr_You_start_reading_{s|Vous commencez à lire {s2}. Vous le gardez près de vous afin d'en lire quelques pages à chaque fois que vous en aurez l'occasion.
qstr_You_flip_through_the|Après avoir lu quelques pages du livre, vous vous apercevez que malgré vos efforts vous n'y comprenez pas grand chose, et une violente migraine met un terme à la lecture.
qstr_You_lost_your_duel_a|You lost your duel against ^^{s3}{***};;;;
qstr_You_won_your_duel_ag|You won your duel against ^^{s3}{***};;;;
qstr_You_prepare_to_duel_|You prepare to duel ^^{s3}{***};;;;
qstr_^^^^You_have_fought_|^^^^Vous avez combattu {s3} {reg5} fois.^^Vous avez gagné {reg6} fois.^^Vous avez perdu {reg7} fois
qstr_^^^^Duelling_with_yo|^^^^Le duel avec vos propres troupes ne comptera pas dans vos statistiques de duel.
qstr_Villagers|Villageois
qstr_The_time_for_talk_is|The time for talk is over. {s1} is waiting to begin the duel.{***};;;;
qstr_Ambush!_The_enemy_ha|Ambush! The enemy has manoeuvred to gain a good position, and you fell into an ambush.^^Being ambushed puts you in a poor and disorganized defensive position, and your men will have morale problems and reduced ability to cause damage to your enemies.^^{***};;;;
qstr_You_have_encountered|Vous avez rencontré {s1}.^^Le seigneur de guerre encourage ses hommes avec un discours vibrant. Vos ennemis ont un moral très élevé.^^
qstr_You_have_encountered_|Vous avez rencontré{s1}.^^The warlord gathers his men to pray and invoke the protection of their god. Your enemies have high morale.^^{***};;;;
qstr_You_have_encountered_{|Vous avez rencontré{s1}.^^Before we were prepared, we were surprised by enemy missile troops. They caused some casualties.^^{***};;;;
qstr_You_have_encountered_{s|Vous avez rencontré{s1}.{***};;;;
qstr_You_have_engaged_{s1|Vous attaquez {s1} tandis qu'ils pillent {s3}.
qstr_You_were_caught_by_{|Vous avez été {attaqué/attaquée} par {s1} tandis que vos forces pillaient {s3}.
qstr_You_have_encountered_{s1|Vous avez rencontré{s1}. You have {reg10} troops fit for battle.{***};;;;
qstr_{s2}^^You_overhear_o|{s2}^^You overhear one of your more experienced men grumbling about the lack of a battle plan, and you make a mental note to find someone that can make one.^^{***};;;;
qstr_Your_men_feel_uneasy|Your men feel uneasy about attacking innocents.{***};;;;
qstr_Your_men_feel_uneasy_|Your men feel uneasy about attacking traders.{***};;;;
qstr_Your_men_feel_good_a|Your men feel good about attacking outlaws.{***};;;;
qstr_Since_{s8}_has_a_goo|Since {s8} has a good reputation, your troops feel a bit more confident than usual when attacked.{***};;;;
qstr_Your_men_feel_uneasy_a|Your men feel uneasy about attacking {s8}, who is loved by the people.{***};;;;
qstr_Your_men_feel_uneasy_ab|Your men feel uneasy about being attacked by {s8}, because {reg59?she:he} is feared.{***};;;;
qstr_Your_men_are_eager_t|Your men are eager to attack {s8}, because {reg59?she:he} is hated.{***};;;;
qstr_^^The_troops_you_sel|^^Les troupes que vous avez selectionnés sont prêtes à vous rejoindre dans la bataille.
qstr_^^Your_captains_will|^^Vos capitaines s'occuperont des affectations de troupes.
qstr_{s4}^^Your_orders_ha|{s4}^^Vos ordres ont été envoyés à vos capitaines.
qstr_{s4}^^There_is_no_ta|{s4}^^Il n'y a pas de plan tactique de prévu.
qstr_Board|Board{***};;;;
qstr_You_need_to_have_50_|You need to have 50 or more men in order to use the commander panel.{***};;;;
qstr_{reg45}_will_be_lost|{reg45} will be lost.{***};;;;
qstr_You_were_victorious!|Vous êtes victorieux !
qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.{***};;;;
qstr_Your_companions_carr|Vos compagnons vous traînent hors du champs de bataille.
qstr_You_have_defeated_th|Vous avez vaincu l'ennemi.
qstr_You_have_retreated_f|Vous avez rompu l'engagement.
qstr_^^Ally_Casualties:{s|^^Pertes alliées :{s0}
qstr_{s1}_of_{s3}_managed|{s1} of {s3} managed to escape.{***};;;;
qstr_TEST:_Loot_value_bef|TEST: Loot value before: {reg1} and after: {reg2}{***};;;;
qstr_Your_party_gained_{r|Your party gained {reg1} morale for the loot you shared.{***};;;;
qstr_Your_party_lost_{reg|Your party lost {reg1} morale, because your troops think you keep too much loot for yourself.{***};;;;
qstr_Some_of_your_tendons|Vos bras vous font souffrir le martyre. Vous perdez 1 en force.
qstr_You_took_a_nasty_wou|Vous avez reçu une vilaine blessure qui vous fera boiter, même après sa guérison. Vous perdez 1 en agilité.
qstr_You_have_trouble_thi|Vous avez du mal à vous concentrer après la bataille, peut-être à cause d'un coup particulièrement violent à la tête, et de fréquents maux de tête vous gâchent l'existence. Vous perdez 1 en intelligence.
qstr_Perhaps_I_m_getting_|Peut-être que la chance m'abandonne...
qstr_Retirement_is_starti|La retraite semble s'imposer.
qstr_No_matter!_I_will_pe|Peu importe ! Je persévère !
qstr_What_did_I_do_to_des|Qu'ai-je fait pour mériter cela ?
qstr_I_suppose_it_ll_make|Je suppose que ça fera au moins une bonne histoire à raconter...
qstr_Ally|Allié
qstr_Friend|Ami
qstr_Enemy|Enemi
qstr_Neutral|Neutre
qstr_^^^^The_troops_you_s|^^^^Les troupes que vous avez selectionnés sont prêtes à vous rejoindre dans la bataille.
qstr_^^^^Your_captains_wi|^^^^Vos capitaines s'occuperont des affectations de troupes.
qstr_You_retreat_from_the|You retreat from the battle.{***};;;;
qstr_Garrison:_{reg5}__li|Garrison: {reg5} (limit: {reg0})^^ Having your men garrison the settlement, like for castles and cities, allows them to rest away from the dangers of road and battle and reduces their maintenance cost.{***};;;;
qstr_You_need_to_hire_a_c|You need to hire a cook first.{***};;;;
qstr_It_is_night_and_your|It is night, and your settlement seems quiet, with some men watching while others are sleeping.{***};;;;
qstr_Your_garrison_size_e|Your garrison size exceeds the maximum allowed number of soldiers that can be stationed at your settlement. This will produce discontent among men and desertions!{***};;;;
qstr_Garrison_limit:_{reg|Garrison limit: {reg0}{***};;;;
qstr_The_ramshackle_priso|The ramshackle prison at your settlement is not very secure. Your captain suggests not to keep lords here!{***};;;;
qstr_You_do_not_have_enoug|You do not have enough money to pay men to demolish your settlement.{***};;;;
qstr_settlement_demolishe|settlement demolished!{***};;;;
qstr_You_estimate_your_pr|You estimate your prisoners here have a {reg2}% chance of escape.{***};;;;
qstr_Currently_{reg1}_pri|Currently {reg1} prisoners are working here and {reg2} guards are on duty.{***};;;;
qstr___{reg1}_silver_stag| ({reg1} cerfs d'argent per day){***};;;;
qstr_You_are_in_no_condit|You are in no condition to work.{***};;;;
qstr_You_are_paid_for_you|You are paid for your labour.{***};;;;
qstr_Some_of_the_prisoner|Some of the prisoners you have working in the mine managed to escape.^The remaining prisoners earned you {reg1} cerfs d'argent this week.{***};;;;
qstr_The_prisoners_you_ha|The prisoners you have working in the mine earned you {reg1} cerfs d'argent this week.{***};;;;
qstr_Some_of_the_prisoners|Some of the prisoners you have working in the iron mine managed to escape.^The remaining prisoners earned you {reg1} cerfs d'argent this week.{***};;;;
qstr_The_prisoners_you_hav|The prisoners you have working in the iron mine earned you {reg1} cerfs d'argent this week.{***};;;;
qstr_You_have_discovered_|Vous avez découvert Hollow Hill. You gained 200xp.{***};;;;
qstr_You_have_dealt_with_|You have dealt with the Wildling threat. You must return to King Robb Stark.{***};;;;
qstr_You_have_failed_to_d|You have failed to deal with the Wildling threat. You must return to King Robb Stark.{***};;;;
qstr_You_have_discovered_C|Vous avez découvert Craster's Keep. You gained 200xp.{***};;;;
qstr_Even_though_you_were|Even though you were injured, you still manage to find your way to the castle halls.{***};;;;
qstr_You_finally_manage_t|You finally manage to find your way to the hall.{***};;;;
qstr_You_manage_to_make_i|You manage to make it out alive.{***};;;;
qstr_You_have_discovered_t|Vous avez découvert the Inn of the Kneeling Man. You gained 200xp.{***};;;;
qstr___{reg1}_silver_stags| ({reg1} cerfs d'argent per night){***};;;;
qstr_You_have_discovered_th|Vous avez découvert the Old Stone Bridge. You gained 200xp.{***};;;;
qstr_You_have_discovered_I|Vous avez découvert Illyrio's Manse. You gained 200xp.{***};;;;
qstr_The_castle_has_been_|The castle has been re-built!{***};;;;
qstr_It_seems_some_slaver|It seems some slavers was using this as a hideout. Be prepared for a battle!{***};;;;
qstr_You_arrive_at_Evenfa|Vous arrivez à Evenfall harbour.{***};;;;
qstr_You_arrive_at_the_ha|Vous arrivez à the harbour of Oldoak.{***};;;;
qstr_You_arrive_at_Greens|Vous arrivez à Greenstone harbour.{***};;;;
qstr_You_arrive_at_Old_Wy|Vous arrivez à Old Wyk harbour.{***};;;;
qstr_You_arrive_at_Fair_I|Vous arrivez à Fair Isle harbour.{***};;;;
qstr_You_arrive_at_Long_S|Vous arrivez à Long Sister harbour.{***};;;;
qstr_You_arrive_at_Sweet_|Vous arrivez à Sweet Sister harbour.{***};;;;
qstr_You_arrive_at_a_natu|Vous arrivez à a natural harbour.{***};;;;
qstr_You_arrive_at_Eastwa|Vous arrivez à Eastwatch harbour.{***};;;;
qstr_You_arrive_at_Orange|Vous arrivez à Orange Shore harbour.{***};;;;
qstr_You_arrive_at_Grimst|Vous arrivez à Grimston harbour.{***};;;;
qstr_You_arrive_at_Oakens|Vous arrivez à Oakenshield harbour.{***};;;;
qstr_You_arrive_at_Greysh|Vous arrivez à Greyshield harbour.{***};;;;
qstr_You_arrive_at_the_har|Vous arrivez à the harbour of Iron Holt.{***};;;;
qstr_You_arrive_at_Orkmon|Vous arrivez à Orkmont harbour.{***};;;;
qstr_You_arrive_at_Blackt|Vous arrivez à Blacktyde harbour.{***};;;;
qstr_You_arrive_at_Claw_I|Vous arrivez à Claw Isle harbour.{***};;;;
qstr_You_arrive_at_Rook_s|Vous arrivez à Rook's Rest harbour.{***};;;;
qstr_You_arrive_at_a_harb|Vous arrivez à a harbour.{***};;;;
qstr_You_have_discovered_S|Vous avez découvert Shandystone. You gained 200xp.{***};;;;
qstr_You_have_discovered_Q|Vous avez découvert Queenscrown. You gained 200xp.{***};;;;
qstr_You_have_discovered_the|Vous avez découvert the Boneway. You gained 200xp.{***};;;;
qstr_You_have_discovered_the_|Vous avez découvert the Broken Arm. You gained 200xp.{***};;;;
qstr_You_have_discovered_N|Vous avez découvert Nagga's Ribs. You gained 200xp.{***};;;;
qstr_Searching_through_th|Searching through the ruins you found 250 coins.{***};;;;
qstr_You_have_discovered_O|Vous avez découvert Oldstones. You gained 200xp.{***};;;;
qstr_You_have_discovered_the_T|Vous avez découvert the Tower of Joy. You gained 200xp.{***};;;;
qstr_The_rescued_prisoner|The rescued prisoners join your party.{***};;;;
qstr_It_is_night_and_the_|It is night, and the septry seems quiet.{***};;;;
qstr_You_feel_good_for_he|You feel good for helping.{***};;;;
qstr_You_don_t_have_enough_|Vous n'avez pas assez de place.
qstr_The_Septons_bless_yo|The Septons bless you and you continue on your way.{***};;;;
qstr_You_need_to_have_more|You need to have more men for this.{***};;;;
qstr_You_have_discovered_the_C|Vous avez découvert the Crossroads Inn. You gained 200xp{***};;;;
qstr_{s9}_wants_you_to_fo|{s9} souhaite que vous suiviez son armée jusqu'à nouvel ordre.
qstr_{s8}_of_{s9}|{s8} du {s9}
qstr__Your_own_banner_fli|Votre bannière flotte au-dessus de la porte du château.
qstr__As_you_approach_the| As you approach the gate, you are greeted by men loyal to {s7}.{***};;;;
qstr__Your_own_banner_flie|Votre bannière flotte au-dessus des portes de la ville.
qstr__As_you_approach_the_| As you approach the town gates, you are greeted by men loyal to {s7}.{***};;;;
qstr_The_rulers_of_the_re|The rulers of the realms are troubled by your offence against the majesty of your lord.{***};;;;
qstr_You_make_sure_they_s|You make sure they see that their lord, {s11}, is held prisoner by your army.{***};;;;
qstr_{s12}_is_{s13}_s_las|{s12} is {s13}'s last stronghold. They will be unable to make an exchange.{***};;;;
qstr_You_can_use_persuasi|You can use persuasion skill only once per a day.{***};;;;
qstr_ally_strength:_{reg0|ally strength: {reg0}{***};;;;
qstr_enemy_strength:_{reg|enemy strength: {reg0}{***};;;;
qstr_persuasion_difficult|persuasion difficulty: {reg0}{***};;;;
qstr_normalize_difficulty|normalize difficulty: {reg0}{***};;;;
qstr_persuasion_skill_eff|persuasion skill effect: {reg0}{***};;;;
qstr_total_difficulty:_{r|total difficulty: {reg0}{***};;;;
qstr__Your_Persuasion_str| Your Persuasion strength is {reg5}.^{s5}{***};;;;
qstr_The_{reg6?town_s:cas|Les réserves {reg6?de la ville:du château} devraient leur permettre de tenir encore {reg3} jours.
qstr_The_{reg6?town_s:cast|Les réserves {reg6?de la ville:du château} sont épuisées et les défenseurs meurent de faim.
qstr_Your_men_are_buildin|Your men are building checkpoints and small camps around {s4} to prevent anyone from going in or out.^^{***};;;;
qstr_Your_perimeter_contr|Your perimeter control is ready. You have set a perimeter for surveillance around {s4}. No one can enter or leave without the knowledge of your men.^This will be beneficial especially when you have to negotiate the surrender of the castle with its commander.^^{***};;;;
qstr_Your_men_are_ready_f|Your men are ready for assault.^^{***};;;;
qstr_As_a_disciplined_arm|As a disciplined army, your men have made latrines, pipelines, and a pond for their weekly bath. A healthy camp prevents disease.^^{***};;;;
qstr_Your_men_have_finish|Your men have finished building mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^{***};;;;
qstr_Your_men_have_finishe|Your men have finished making scaling equipment.^^{***};;;;
qstr_Your_attempt_to_find|Your attempt to find a traitor in the settlement has failed.^^{***};;;;
qstr_You_have_found_a_tra|You have found a traitor within {s7} that has supported your efforts to conquer it. This will make it more receptive to surrendering.^^{***};;;;
qstr_Your_attempt_to_have|Your attempt to have your men infiltrate {s4} has failed.^^{***};;;;
qstr_Your_men_have_succee|Your men have succeeded in infiltrating {s4} and damaging the enemy.^^{***};;;;
qstr_You_ve_managed_to_pi|You've managed to pillage the crops and farms nearby.^^{***};;;;
qstr_You_have_sent_men_to|You have sent men to find a traitor in {s4}.^^{***};;;;
qstr_You_have_found_a_trai|You have found a traitor within {s4} that has supported your efforts to conquer it. This will render it more receptive to surrendering.^^{***};;;;
qstr_Your_men_are_taking_|Your men are taking crops and ransacking farms close to {s4} on your orders. This will render it more receptive to surrendering.^^{***};;;;
qstr_You_have_sent_men_to_|You have sent men to infiltrate {s4}.^^{***};;;;
qstr_Your_camp_stinks._Th|Your camp stinks. The ground is muddy, your men defecate between tents, and you see rats running here and there.^^{***};;;;
qstr_As_a_disciplined_army|As a disciplined army, your men have made latrines, pipelines and a pond for their weekly bath. A healthy camp prevents disease.^^{***};;;;
qstr_Your_men_are_digging|Your men are digging holes for latrines and taking other measures to prevent disease.^^{***};;;;
qstr_You_need_to_have_more_|You need to have more than 250 men for this job.{***};;;;
qstr_You_need_to_have_at_|You need to have at least 40 men in order to assign some of them to finding a traitor.{***};;;;
qstr_You_need_more_than_3|You need more than 30 men, or sending some will leave your camp somewhat unprotected.{***};;;;
qstr_You_need_to_have_more_t|You need to have more than 10 men in order to do this job.{***};;;;
qstr_You_need_to_have_more_th|You need to have more than 80 men in order to do this.{***};;;;
qstr_The_assault_equipmen|The assault equipment is ready. The troops await your orders.^^{***};;;;
qstr_You_look_towards_{s4|You look towards {s4}. Your men are mostly silent while they await your order to attack. Some however you can hear muttering to themselves and you can clearly see others are doing there best to hold back the fear of death.^As you look back at your men they exchange glances with you, hoping you will get them through another day.^^{***};;;;
qstr_The_steel_of_weapons|The steel of weapons glitter, banners sway in the wind emblazoned with the emblem of each house here today and horns are sounding all around you. The men whisper, many pray, ingratiate themselves with their god before facing the end of their lives.^Up ahead there are only two things: victory or death.^^{***};;;;
qstr_You_look_towards_{s4}|You look towards {s4}. Your men are silent while waiting for your order to charge towards death. Some however you can hear muttering to themselves and you can clearly see others are doing there best to hold back the fear of death.^As you look back at your men they exchange glances with you, hoping you will get them through another day.^^{***};;;;
qstr_^^The_troops_you_sele|^^Les troupes que vous avez selectionnés sont prêtes à vous rejoindre dans la bataille. Le reste restera au camp de siège.
qstr_Your_men_have_finished|Your men have finished building the mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^{***};;;;
qstr_Your_men_are_building|Your men are building mantlets.^^{***};;;;
qstr_Your_men_have_finished_|Your men have finished building the ladders.^^{***};;;;
qstr_Your_men_are_building_|Your men are building assault ladders.^^{***};;;;
qstr_As_a_last_defensive_|Dans un dernier effort, vous battez en retraite jusqu'au hall du donjon. Vous et vos derniers soldats y engagez un combat désespéré. Si vous êtes vaincu, cet endroit sera le dernier que vous ayez connu.
qstr_You_ve_been_driven_a|Les murs sont aux mains de l'ennemi ! Maintenant les attaquants se répandent dans les rues. Si vous les battez, peut-être parviendrez-vous à retourner la situation en votre faveur.
qstr_You_ve_breached_the_|Vous vous êtes emparé des murs mais les défenseurs continuent à résister dans les rues ! Vous devez vous en occuper avant de pouvoir vous attaquer au château, au centre de la ville.
qstr_The_town_centre_is_y|La ville est à vous mais les défenseurs restants ont battu en retraite dans le château. Il faut vous en emparer afin de compléter votre victoire.
qstr_The_remaining_defend|Les défenseurs restants se sont retranchés dans le château dans un ultime effort. Vous devez lancer l'assaut et les éliminer.
qstr_{s4}_lost_between_40|{s4} lost between 40 and 50% of its food reserves.{***};;;;
qstr_{s4}_lost_between_50|{s4} lost between 50 and 60% of its food reserves.{***};;;;
qstr_{s4}_lost_between_30|{s4} lost between 30 and 40% of its food reserves.{***};;;;
qstr_{s4}_lost_between_10|{s4} lost between 10 and 20% of its food reserves.{***};;;;
qstr_{s4}_have_between_10|{s4} have between 10 and 30% of its garrison sick for a few days.{***};;;;
qstr_It_should_have_food_|It should have food stocks for {reg6} days.^The garrison has {reg5} men.{***};;;;
qstr_^^The_following_armi|^^Les armées suivantes sont actuellement à l'intérieur:
qstr_^{s3}_with_{reg1}_tr|^{s3} avec {reg1} troupes.
qstr_Commander_This_is_Ki|Commander, This is Kings Landing, the Capital of Westeros. We should be careful of the Town guard, the Gold Cloaks.{***};;;;
qstr_Commander_Ever_since|Commander, Ever since the Three Thousand of Qohor, a battle between Unsullied and the Dothraki, Qohor has been garrisoned by Unsullied soldiers. We should be careful attacking this city.{***};;;;
